state,x,y
Jammu,-123,332
Himachal,-122,259
Punjab,-173,228
Uttarakhand,79,209
Haryana,-149,177
Delhi,-123,165
Rajastan,-209,117
Uttar Pradesh,-49, 120
Bihar,95,84
Sikkim,151,146
Arunachal Pradesh,293,188
Assam,251,108
Manipur,306,124
Nagaland,302,112
Mizoram,266,12
Tripur,234,37
Meghalaya,211,88
West Bengal,141,14
Jharkhanda,76,24
Odisa,75,-60
Chattisgarh,-3,-48
Madhyapradesh,-90,16
Gujrat,-292,-30
Maharashtra,-189,-95
Goa,-217,-201
Karnataka,-175,-224
Telangana,-80,-132
Andhrapradesh,-65,-207
Tamilnadu,-90,-322
Kerala,-146,-352
